paper_id,short_name,seed,clip,patience,max_epochs,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,test_RMSE_const,val_PDR,val_R2,val_RMSE,elapsed_s,is_collapsed
P5,Elsherif_2025,4,125,999,25,25,41.571,33670.89,4e-06,-0.126575,0.951281,43.7,3e-06,-0.000419,41.68,5.8,True
P5,Elsherif_2025,5,125,999,25,25,19.0279,1780.44,0.969025,0.763974,0.43542,43.7,0.933388,0.846598,16.3212,6.0,False
P5,Elsherif_2025,6,125,999,25,25,41.4531,32517.57,2e-06,-0.120196,0.948584,43.7,2e-06,-0.000143,41.6742,5.8,True
P5,Elsherif_2025,7,125,999,25,25,41.7454,35406.36,1e-06,-0.136046,0.955271,43.7,1e-06,-0.001067,41.6935,5.8,True
P5,Elsherif_2025,8,125,999,25,25,41.8351,36313.56,2e-06,-0.140937,0.957325,43.7,2e-06,-0.00151,41.7027,5.8,True
P5,Elsherif_2025,9,125,999,25,25,41.306,31098.32,4e-06,-0.112258,0.945217,43.7,3e-06,-6e-06,41.6713,6.0,True
P1,P1,0,125.0,15,200,18,41.2355,30426.04,3e-06,-0.108463,0.943603,43.7,3e-06,-2.4e-05,41.6717,3.9,True
P1,P1,1,125.0,15,200,19,41.6058,34014.27,1e-06,-0.128461,0.952077,43.7,1e-06,-0.000524,41.6821,4.1,True
P1,P1,2,125.0,15,200,127,11.8474,321.92,1.004694,0.908499,0.271108,43.7,0.953884,0.927759,11.2003,27.3,False
P1,P1,3,125.0,15,200,35,41.6898,34849.92,1e-06,-0.133026,0.954,43.7,1e-06,-0.000829,41.6885,7.6,True
P1,P1,4,125.0,15,200,18,41.571,33670.89,4e-06,-0.126575,0.951281,43.7,3e-06,-0.000419,41.68,3.9,True
P1,P1,5,125.0,15,200,75,15.3118,725.45,0.989522,0.847161,0.350385,43.7,0.945928,0.902725,12.9968,16.0,False
P1,P1,6,125.0,15,200,19,41.4531,32517.57,2e-06,-0.120196,0.948584,43.7,2e-06,-0.000143,41.6742,4.2,True
P1,P1,7,125.0,15,200,32,41.7454,35406.36,1e-06,-0.136046,0.955271,43.7,1e-06,-0.001067,41.6935,6.9,True
P1,P1,8,125.0,15,200,26,41.8351,36313.56,2e-06,-0.140937,0.957325,43.7,2e-06,-0.00151,41.7027,5.5,True
P1,P1,9,125.0,15,200,18,41.306,31098.32,4e-06,-0.112258,0.945217,43.7,3e-06,-6e-06,41.6713,3.9,True
P4,P4,0,,15,200,18,54.0399,312203.59,2e-06,-0.7042,0.718806,75.1801,1e-06,-0.00647,87.7223,3.9,True
P4,P4,1,,15,200,19,58.5296,606372.81,1e-06,-0.999138,0.778526,75.1801,1e-06,-2.1e-05,87.4408,4.2,True
P4,P4,2,,15,200,19,60.657,815095.77,2e-06,-1.147105,0.806823,75.1801,1e-06,-0.000862,87.4775,4.0,True
P4,P4,3,,15,200,19,62.6272,1063425.78,1e-06,-1.288849,0.833029,75.1801,1e-06,-0.003572,87.5959,4.0,True
P4,P4,4,,15,200,18,56.213,433893.82,3e-06,-0.844016,0.747711,75.1801,2e-06,-0.001832,87.5199,3.8,True
P4,P4,5,,15,200,48,38.2343,80410.87,1.492863,0.146905,0.508569,75.1801,0.832884,0.711242,46.9869,10.5,False
P4,P4,6,,15,200,19,57.0881,493222.03,1e-06,-0.901874,0.759351,75.1801,1e-06,-0.000791,87.4745,4.1,True
P4,P4,7,,15,200,19,59.0684,654163.49,1e-06,-1.036111,0.785692,75.1801,1e-06,-1.9e-05,87.4407,4.0,True
P4,P4,8,,15,200,19,60.3237,778679.68,2e-06,-1.123576,0.80239,75.1801,1e-06,-0.000583,87.4653,4.1,True
P4,P4,9,,15,200,18,54.6207,341481.28,2e-06,-0.741027,0.726531,75.1801,1e-06,-0.004926,87.655,4.1,True
